* VELROT Run on 2026/ 6/24  1:50 Version 1.01-julia
* SYSTEM 1 File    : EURA       Slave.vel
* SYSTEM 2 File    : EURA       Master.vel
* FUNDAMENTAL File :            link.file
* OUTPUT FRAME     : EURA       PARAM_OPT TR      
* EQ_DIST          :              200.0 m, CP_DIST :        200.0 m*
* AV_DIST          :                0.0 m* HEIGHT WEIGHT    :   0.000001
* 
* RMS fit for      126 components from   63 stations was       0.42 mm/yr, NRMS     1.19
* Estimates of Transformation parameters are: 
*    1 X-Offset     394.2995   216.0307 (mm/yr)
*    2 Y-Offset     529.3799   323.3458 (mm/yr)
*    3 Z-Offset    -713.4748   239.7109 (mm/yr)
*    4 X-Rot         17.6654     7.2834 (mas/yr)
*    5 Y-Rot        -24.1023     9.4503 (mas/yr)
*    6 Z-Rot         -9.3507     8.7431 (mas/yr)
*  Differences at the fundamental sites
*   #  Name 1  Name Ref    dN (mm)    dE (mm)    dU (mm)    sN (mm)    sE (mm)    sU (mm)   sTN (mm)   sTE (mm)   sTU (mm)
   21.21500   38.92300    -9.01   -6.73   -9.01   -6.73    0.41    0.41  0.005    -10.28  -10.28    7.31 ABEL_GPS*
   21.73200   38.84300    -9.04   -9.28   -9.04   -9.28    0.31    0.31  0.005     -6.56   -6.56    5.91 027A_GPS 
   21.80100   38.90900    -6.85   -9.16   -6.85   -9.16    0.23    0.22  0.010     -7.28   -7.28    6.01 HE3C_GPM 
   22.44800   38.78100    -9.21  -14.13   -9.21  -14.13    0.60    0.60 -0.000     -2.23   -2.23    5.02 1900_GPS 
   22.37200   38.90400    -8.19  -12.55   -8.19  -12.55    0.31    0.31 -0.001     -4.54   -4.54    5.47 072A_GPS 
   22.40300   38.89000    -7.69  -12.84   -7.69  -12.84    0.41    0.50 -0.000     -4.17   -4.17    5.42 LAMI_GPS 
   22.43200   38.89800    -8.19  -12.74   -8.19  -12.74    0.22    0.31 -0.002     -4.17   -4.17    5.45 LAMA_GPS*
   22.44500   38.91600   -11.19  -10.53  -11.19  -10.53    0.69    0.69 -0.000     -4.39   -4.39    5.52 1400_GPS 
   22.97700   38.86300    -9.07  -16.18   -9.07  -16.18    0.31    0.31 -0.007     -1.11   -1.11    5.74 026A_GPS 
   22.80600   38.75000   -10.27  -17.60  -10.27  -17.60    0.12    0.12 -0.024     -0.10   -0.10    5.13 OL01_GPM 
   22.94500   38.88800    -9.36  -16.18   -9.36  -16.18    0.17    0.17 -0.023     -1.66   -1.66    5.78 1500_GPS 
   23.03400   38.75500   -11.03  -19.34  -11.03  -19.34    0.17    0.17 -0.019      0.86    0.86    5.48 ARKI_GPM*
   23.23200   38.81900   -14.42  -23.87  -14.42  -23.87    0.20    0.20 -0.021      0.74    0.74    6.05 GE01_GPS 
   23.10000   38.85700    -9.69  -17.57   -9.69  -17.57    0.13    0.12 -0.050     -0.46   -0.46    5.92 GE0A_GPS 
   23.06700   38.86300    -8.18  -18.18   -8.18  -18.18    0.23    0.23 -0.015     -0.71   -0.71    5.89 GE0E_GPS 
   23.20200   38.86600    -8.80  -19.97   -8.80  -19.97    0.22    0.22 -0.019     -0.14   -0.14    6.14 GE12_GPS 
   23.12500   38.90900   -11.58  -13.58  -11.58  -13.58    0.23    0.23 -0.017     -1.17   -1.17    6.14 GE27_GPS 
   23.05100   38.91300   -11.81  -17.95  -11.81  -17.95    0.18    0.18 -0.025     -1.57   -1.57    6.03 GE28_GPM 
   23.15200   38.95600    -8.66  -16.58   -8.66  -16.58    0.32    0.31 -0.010     -1.80   -1.80    6.35 ISTI_GPS*
   23.17300   38.97900    -8.96  -15.48   -8.96  -15.48    0.23    0.23 -0.021     -2.07   -2.07    6.46 GE44_GPS 
   23.32700   38.76800   -12.16  -20.16  -12.16  -20.16    0.16    0.16 -0.033      1.98    1.98    6.11 JT09_GPS 
   23.34100   38.78500   -11.35  -20.57  -11.35  -20.57    0.18    0.18 -0.025      1.77    1.77    6.19 2600_GPS 
   23.48000   38.79700   -10.88  -19.87  -10.88  -19.87    0.32    0.51 -0.006      2.21    2.21    6.56 MANT_GPS 
   23.47200   38.82800   -11.36  -20.67  -11.36  -20.67    0.23    0.23 -0.020      1.68    1.68    6.63 JT2C_GPS 
   23.34600   38.83400   -11.44  -19.07  -11.44  -19.07    0.23    0.23 -0.018      1.02    1.02    6.35 JT30_GPS 
   23.46300   38.84300   -10.75  -20.17  -10.75  -20.17    0.13    0.13 -0.061      1.40    1.40    6.65 2700_GPS 
   23.39100   38.85800   -11.94  -20.37  -11.94  -20.37    0.24    0.24 -0.018      0.84    0.84    6.52 JT3A_GPS 
   23.34300   38.90500   -10.51  -19.67  -10.51  -19.67    0.23    0.23 -0.021     -0.13   -0.13    6.56 JT4B_GPS 
   23.27700   38.91100   -12.60  -18.77  -12.60  -18.77    0.23    0.23 -0.020     -0.52   -0.52    6.44 JT4C_GPS 
   23.31800   38.91000   -10.31  -18.57  -10.31  -18.57    0.23    0.23 -0.021     -0.32   -0.32    6.52 JT4D_GPS 
   23.27700   38.94600    -9.19  -16.87   -9.19  -16.87    0.23    0.23 -0.022     -1.08   -1.08    6.55 JT5B_GPS 
   23.42500   38.95200    -8.21  -19.88   -8.21  -19.88    0.23    0.22 -0.027     -0.51   -0.51    6.89 JT60_GPS 
   23.27700   38.96900    -8.08  -18.38   -8.08  -18.38    0.23    0.23 -0.023     -1.45   -1.45    6.63 P354_GPS 
   23.36400   38.97400    -8.09  -18.18   -8.09  -18.18    0.25    0.25 -0.021     -1.13   -1.13    6.82 JT65_GPS 
   23.37200   38.98600   -10.09  -18.68  -10.09  -18.68    0.19    0.18 -0.042     -1.29   -1.29    6.88 1700_GPS 
   23.69600   38.75800   -12.94  -22.47  -12.94  -22.47    0.17    0.17 -0.039      3.79    3.79    7.03 EL00_GPS 
   20.57300   38.60700    -2.13  -12.63   -2.13  -12.63    1.26    1.26  0.000     -8.39   -8.39    8.55 VASI_GPS 
   20.58500   38.61900    -3.24   -7.52   -3.24   -7.52    0.33    0.33  0.005     -8.52   -8.52    8.53 PONT_GPS*
   20.57500   38.68400    -6.75   -6.82   -6.75   -6.82    0.61    0.52  0.002     -9.60   -9.60    8.67 DRAN_GPS*
   21.15300   38.63100    -4.98  -17.18   -4.98  -17.18    0.31    0.31  0.004     -5.96   -5.96    6.74 001A_GPS 
   21.23900   38.58200    -7.58  -17.15   -7.58  -17.15    0.41    0.51  0.001     -4.77   -4.77    6.39 RGNI_GPS*
   21.15200   38.58300    -7.07  -17.68   -7.07  -17.68    0.57    0.57  0.001     -5.21   -5.21    6.64 CP25_GPS 
   21.09500   38.59200    -7.07  -16.61   -7.07  -16.61    0.99    0.99  0.000     -5.62   -5.62    6.84 CP2A_GPS 
   21.16700   38.66200    -5.18  -17.87   -5.18  -17.87    0.53    0.53  0.001     -6.38   -6.38    6.77 CP40_GPS 
   21.13900   38.68400    -5.68  -18.08   -5.68  -18.08    0.62    0.62  0.001     -6.87   -6.87    6.90 CP48_GPS 
   21.18500   38.70100    -7.29  -15.56   -7.29  -15.56    0.29    0.29  0.005     -6.91   -6.91    6.81 CP4E_GPS 
   21.15600   38.74600    -5.69  -14.47   -5.69  -14.47    0.49    0.49  0.002     -7.76   -7.76    7.00 CP62_GPS 
   21.26600   38.56200    -9.68  -19.44   -9.68  -19.44    1.16    1.16  0.000     -4.33   -4.33    6.26 AO16_GPS 
   21.40800   38.62400   -10.80   -6.79  -10.80   -6.79    0.22    0.25  0.005     -4.63   -4.63    6.01 AGRI_GPM*
   21.48600   38.65500   -10.51   -7.26  -10.51   -7.26    0.12    0.12  0.019     -4.75   -4.75    5.89 AO3F_GPS 
